t,x,y,To,q,T
1.5166666666666662,0.0,0.02,26.42,4.0,27.739352
1.5333333333333328,0.0,0.02,26.42,4.0,27.749390000000002
1.5499999999999994,0.0,0.02,26.42,4.0,27.759428
1.566666666666666,0.0,0.02,26.42,4.0,27.769466
1.5833333333333326,0.0,0.02,26.42,4.0,27.789542
1.5999999999999992,0.0,0.02,26.42,4.0,27.789542
1.6166666666666658,0.0,0.02,26.42,4.0,27.799580000000002
1.6333333333333324,0.0,0.02,26.42,4.0,27.819656000000002
1.649999999999999,0.0,0.02,26.42,4.0,27.819656000000002
1.6666666666666656,0.0,0.02,26.42,4.0,27.829694
1.6833333333333322,0.0,0.02,26.42,4.0,27.839732
1.6999999999999988,0.0,0.02,26.42,4.0,27.84977
1.7166666666666655,0.0,0.02,26.42,4.0,27.859808
1.733333333333332,0.0,0.02,26.42,4.0,27.869846000000003
1.7499999999999987,0.0,0.02,26.42,4.0,27.889922000000002
1.7666666666666653,0.0,0.02,26.42,4.0,27.89996
1.7833333333333319,0.0,0.02,26.42,4.0,27.909998
1.7999999999999985,0.0,0.02,26.42,4.0,27.909998
1.816666666666665,0.0,0.02,26.42,4.0,27.940112
1.8333333333333317,0.0,0.02,26.42,4.0,27.95015
1.8499999999999983,0.0,0.02,26.42,4.0,27.95015
1.866666666666665,0.0,0.02,26.42,4.0,27.95015
1.8833333333333315,0.0,0.02,26.42,4.0,27.960188000000002
1.8999999999999981,0.0,0.02,26.42,4.0,27.980264000000002
1.9166666666666647,0.0,0.02,26.42,4.0,28.00034
1.9333333333333313,0.0,0.02,26.42,4.0,27.990302
1.949999999999998,0.0,0.02,26.42,4.0,28.010378
1.9666666666666646,0.0,0.02,26.42,4.0,28.020416
1.9833333333333312,0.0,0.02,26.42,4.0,28.030454
1.9999999999999978,0.0,0.02,26.42,4.0,28.030454
2.0166666666666644,0.0,0.02,26.42,4.0,28.050530000000002
2.033333333333331,0.0,0.02,26.42,4.0,28.060568
2.0499999999999976,0.0,0.02,26.42,4.0,28.070606
2.066666666666664,0.0,0.02,26.42,4.0,28.070606
2.083333333333331,0.0,0.02,26.42,4.0,28.090682
2.0999999999999974,0.0,0.02,26.42,4.0,28.10072
2.116666666666664,0.0,0.02,26.42,4.0,28.10072
2.1333333333333306,0.0,0.02,26.42,4.0,28.120796000000002
2.1499999999999972,0.0,0.02,26.42,4.0,28.130834
2.166666666666664,0.0,0.02,26.42,4.0,28.130834
2.1833333333333305,0.0,0.02,26.42,4.0,28.140872
2.199999999999997,0.0,0.02,26.42,4.0,28.160948
2.2166666666666637,0.0,0.02,26.42,4.0,28.160948
2.2333333333333303,0.0,0.02,26.42,4.0,28.181024
2.249999999999997,0.0,0.02,26.42,4.0,28.181024
2.2666666666666635,0.0,0.02,26.42,4.0,28.191062
